changeset,key,value
122865564,hashtags,tflcid
122919014,hashtags,tflcid
122919400,hashtags,tfcid
122919517,hashtags,tfcid
123022051,hashtags,tflcid
123022214,hashtags,tflcid
123022468,hashtags,tflcid
83891599,hashtags,surveyme
131337565,hashtags,waymap
123056413,hashtags,tflcid
123063609,hashtags,tflcid
123064141,hashtags,tflcid
124400303,hashtags,tflcid
124400446,hashtags,tflcid
124400740,hashtags,tflcid
124408547,hashtags,tflcid
124411718,hashtags,tflcid
62308883,hashtags,explorunning
125524554,hashtags,tflcid
125525895,hashtags,tflcid
125534205,hashtags,tflcid
132002891,hashtags,waymap
132005493,hashtags,waymap
132007182,hashtags,waymap
132011493,hashtags,waymap
132013369,hashtags,waymap
132017310,hashtags,waymap
132022065,hashtags,waymap
132035239,hashtags,waymap
132036346,hashtags,waymap
132038068,hashtags,waymap
132042126,hashtags,waymap
132046594,hashtags,waymap
132088858,hashtags,waymap
132088876,hashtags,waymap
132089241,hashtags,waymap
134591400,hashtags,tflcid
134601855,hashtags,tflcid
134602209,hashtags,tflcid
77464262,hashtags,dwg
131431567,hashtags,waymap
131431785,hashtags,waymap
131437766,hashtags,waymap
131438257,hashtags,waymap
131441456,hashtags,waymap
131448183,hashtags,waymap
131449641,hashtags,waymap
131451735,hashtags,waymap
131452748,hashtags,waymap
131454309,hashtags,waymap
131456052,hashtags,waymap
131459617,hashtags,tflcid
131466123,hashtags,waymap
135379579,hashtags,tflcid
135419981,hashtags,tflcid
135426059,hashtags,tflcid
131894987,hashtags,waymap
131896234,hashtags,waymap
131896564,hashtags,waymap
131896595,hashtags,waymap
131900166,hashtags,waymap
131900260,hashtags,waymap
131900277,hashtags,waymap
131911758,hashtags,tflcid
131911758,hashtags,waymap
131917713,hashtags,tflcid
131917713,hashtags,waymap
131922295,hashtags,waymap
131955436,hashtags,tflcid
131955436,hashtags,waymap
131956181,hashtags,waymap
131957903,hashtags,waymap
131960826,hashtags,waymap
131965648,hashtags,waymap
131967350,hashtags,waymap
131967853,hashtags,waymap
131970032,hashtags,waymap
131971236,hashtags,waymap
131974074,hashtags,waymap
131976103,hashtags,waymap
131977481,hashtags,waymap
131979422,hashtags,waymap
132000140,hashtags,waymap
125398102,hashtags,tflcid
125403616,hashtags,tflcid
125412793,hashtags,tflcid
125418616,hashtags,tflcid
125440912,hashtags,tflcid
125443216,hashtags,tflcid
125443312,hashtags,tflcid
125464859,hashtags,tflcid
125466278,hashtags,tflcid
131644504,hashtags,waymap
131645776,hashtags,waymap
131647474,hashtags,waymap
131650398,hashtags,waymap
131656159,hashtags,waymap
131666689,hashtags,waymap
131681051,hashtags,waymap
131681297,hashtags,waymap
131684387,hashtags,waymap
131692988,hashtags,waymap
131695165,hashtags,waymap
131725172,hashtags,waymap
131725913,hashtags,tflcid
131725913,hashtags,waymap
131726226,hashtags,waymap
131731576,hashtags,waymap
131733315,hashtags,waymap
131744835,hashtags,waymap
119837635,hashtags,dwg
134447244,hashtags,tflcid
134447725,hashtags,tflcid
134448316,hashtags,tflcid
123271554,hashtags,tflcid
124879690,hashtags,tflcid
134763808,hashtags,tflcid
134767565,hashtags,tflcid
134769336,hashtags,tflcid
134773004,hashtags,tflcid
134777288,hashtags,tflcid
134778109,hashtags,tflcid
134780992,hashtags,tflcid
134781071,hashtags,tflcid
134781308,hashtags,surveyme
134781308,hashtags,tflcid
134789463,hashtags,tflcid
134789724,hashtags,tflcid
134802573,hashtags,tflcid
134803172,hashtags,tflcid
134803214,hashtags,tflcid
134803820,hashtags,tflcid
135787040,hashtags,quest_accessible_for_pedestrians
135787761,hashtags,quest_accessible_for_pedestrians
135787833,hashtags,quest_accessible_for_pedestrians
135788430,hashtags,quest_accessible_for_pedestrians
135788911,hashtags,quest_accessible_for_pedestrians
135789553,hashtags,quest_accessible_for_pedestrians
135789839,hashtags,quest_accessible_for_pedestrians
135789955,hashtags,quest_accessible_for_pedestrians
131606080,hashtags,waymap
131612574,hashtags,waymap
131621575,hashtags,waymap
131623156,hashtags,waymap
134851125,hashtags,tflcid
134852322,hashtags,tflcid
134854829,hashtags,tflcid
135836633,hashtags,quest_accessible_for_pedestrians
135861496,hashtags,quest_accessible_for_pedestrians
135861587,hashtags,quest_accessible_for_pedestrians
142603674,hashtags,bano
142603674,hashtags,pifometre
142592619,hashtags,bano
142592619,hashtags,pifometre
142592685,hashtags,bano
142592685,hashtags,pifometre
146285348,hashtags,tflcid
145878744,hashtags,dwg
145879492,hashtags,dwg
129397594,hashtags,map
143008729,hashtags,maproulette
143009647,hashtags,maproulette
145410136,hashtags,maproulette
145410136,hashtags,tomtom
145428906,hashtags,tflcid
145459165,hashtags,waymap
146142314,hashtags,tflcid
146152907,hashtags,tflcid
146244903,hashtags,busmiles
146244927,hashtags,busmiles
148804268,hashtags,addprohibitedforpedestrians
148804268,hashtags,streetcomplete
148583694,hashtags,addprohibitedforpedestrians
148583694,hashtags,streetcomplete
148583784,hashtags,addprohibitedforpedestrians
148583784,hashtags,streetcomplete
134490938,hashtags,tflcid
134503871,hashtags,tflcid
134505405,hashtags,tflcid
134581310,hashtags,tflcid
103127934,hashtags,dwg
148375155,hashtags,tomtom
129436173,hashtags,addr
136115495,hashtags,quest_accessible_for_pedestrians
136115627,hashtags,quest_accessible_for_pedestrians
138463380,hashtags,tflcid
138466425,hashtags,tflcid
138473956,hashtags,tflcid
144890326,hashtags,addprohibitedforpedestrians
144890326,hashtags,streetcomplete
144890630,hashtags,addprohibitedforpedestrians
144890630,hashtags,streetcomplete
132152627,hashtags,tflcid
132204976,hashtags,waymap
135249746,hashtags,mapbox_roundabouts_france
135249770,hashtags,mapbox_roundabouts_france
135249781,hashtags,mapbox_roundabouts_france
136648556,hashtags,a3331e
143521729,hashtags,maproulette
143521920,hashtags,maproulette
143522058,hashtags,maproulette
143528490,hashtags,maproulette
143528615,hashtags,maproulette
143528705,hashtags,maproulette
143528945,hashtags,maproulette
143528977,hashtags,maproulette
143529190,hashtags,maproulette
143529237,hashtags,maproulette
148519187,hashtags,addprohibitedforpedestrians
148519187,hashtags,streetcomplete
148519589,hashtags,addprohibitedforpedestrians
148519589,hashtags,streetcomplete
148519640,hashtags,addprohibitedforpedestrians
148519640,hashtags,streetcomplete
148535523,hashtags,addprohibitedforpedestrians
148535523,hashtags,streetcomplete
144040534,hashtags,addprohibitedforpedestrians
144040534,hashtags,streetcomplete
144040774,hashtags,addprohibitedforpedestrians
144040774,hashtags,streetcomplete
