"action_type","type","id","visible","version","changeset","timestamp","user","uid","lat","lon"
"create","node","13121334865",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999605","4.3907245"
"create","node","13121334866",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2000151","4.3906984"
"create","node","13121334867",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2000184","4.3906886"
"create","node","13121334868",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2001913","4.3908343"
"create","node","13121334869",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2004973","4.3910917"
"create","node","13121334870",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2005253","4.3911248"
"create","node","13121334871",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999174","4.3910885"
"create","node","13121334872",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999220","4.3910404"
"create","node","13121334873",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999270","4.3912160"
"create","node","13121334874",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2004194","4.3911939"
"create","node","13121334875",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999885","4.3910997"
"create","node","13121334876",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999860","4.3911272"
"create","node","13121334877",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2002635","4.3911909"
"create","node","13121334878",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2003529","4.3912179"
"create","node","13121334879",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2004572","4.3912561"
"create","way","1427327186",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"create","way","1427327187",TRUE,1,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","node","3222277728",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1998342","4.3910553"
"modify","node","3222277729",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1998778","4.3910598"
"modify","node","3222277732",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999872","4.3911134"
"modify","node","3222277733",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999913","4.3910846"
"modify","node","3222277735",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2004645","4.3912103"
"modify","node","3222277736",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2002345","4.3911391"
"modify","node","3222277737",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2004154","4.3911732"
"modify","node","3222277738",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2004448","4.3911811"
"modify","node","3222293463",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2004603","4.3912370"
"modify","node","6070360673",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999350","4.3911248"
"modify","node","7298860546",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999545","4.3906518"
"modify","node","11265435558",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1998020","4.3910533"
"modify","node","12017292707",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999272","4.3909976"
"delete","node","12017292708",FALSE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"delete","node","12017292709",FALSE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"delete","node","12017292710",FALSE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","node","12017292712",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999365","4.3911039"
"delete","node","12953855426",FALSE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"delete","node","12953855427",FALSE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"delete","node","12953855428",FALSE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"delete","node","12953855429",FALSE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","way","316122151",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","way","316122152",TRUE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"delete","way","1425239127",FALSE,2,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","node","3222277734",TRUE,3,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2000119","4.3907082"
"modify","node","3222277740",TRUE,3,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2004888","4.3911157"
"modify","node","6070360671",TRUE,3,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999535","4.3907819"
"modify","node","6070360674",TRUE,3,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999221","4.3912722"
"modify","node","6070360675",TRUE,3,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999782","4.3906700"
"modify","node","6070360676",TRUE,3,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999984","4.3905243"
"modify","node","6070360939",TRUE,3,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1995553","4.3910186"
"modify","way","550686253",TRUE,3,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","node","6070360941",TRUE,4,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1996173","4.3910304"
"modify","node","6070360943",TRUE,4,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1996854","4.3910409"
"modify","node","6070360945",TRUE,4,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1997496","4.3910480"
"modify","node","6071623085",TRUE,4,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999668","4.3907051"
"modify","way","316120453",TRUE,4,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","way","645917597",TRUE,4,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","way","645917598",TRUE,4,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","way","1296957110",TRUE,4,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","way","1296957111",TRUE,4,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","node","7295285562",TRUE,5,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999312","4.3911680"
"modify","way","645917595",TRUE,5,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","node","245217909",TRUE,6,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999028","4.3911632"
"modify","node","3222277730",TRUE,6,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999195","4.3910668"
"modify","way","158371667",TRUE,6,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","way","645917596",TRUE,6,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","node","1705821716",TRUE,7,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2000077","4.3907379"
"modify","node","2213404428",TRUE,7,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.2004633","4.3911880"
"modify","way","316120449",TRUE,8,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","node","259466187",TRUE,9,"171503368",2025-09-05 14:48:34,"multimob","14088321","51.1999739","4.3905957"
"modify","way","316120450",TRUE,13,"171503368",2025-09-05 14:48:34,"multimob","14088321",NA,NA
"modify","node","1705821592",TRUE,2,"171503353",2025-09-05 14:48:16,"multimob","14088321","51.1995094","4.3904408"
"modify","node","6023459802",TRUE,2,"171503353",2025-09-05 14:48:16,"multimob","14088321","51.1993725","4.3904130"
"modify","node","1705821469",TRUE,4,"171503353",2025-09-05 14:48:16,"multimob","14088321","51.1993434","4.3909742"
"modify","node","1705821583",TRUE,4,"171503353",2025-09-05 14:48:16,"multimob","14088321","51.1994562","4.3909981"
"modify","way","646088926",TRUE,16,"171503249",2025-09-05 14:46:38,"multimob","14088321",NA,NA
"modify","way","645917591",TRUE,17,"171503249",2025-09-05 14:46:38,"multimob","14088321",NA,NA
"modify","way","645917592",TRUE,17,"171503249",2025-09-05 14:46:38,"multimob","14088321",NA,NA
"modify","way","645917593",TRUE,17,"171503249",2025-09-05 14:46:38,"multimob","14088321",NA,NA
"modify","way","645917594",TRUE,17,"171503249",2025-09-05 14:46:38,"multimob","14088321",NA,NA
"create","node","13121314977",TRUE,1,"171502115",2025-09-05 14:26:55,"multimob","14088321","51.2001102","4.3907710"
