"userid","user","pageid","revid","parentid","ns","title","timestamp","minor","top","comment","parsedcomment","size","sizediff","new"
157068,"Multimob",17986,2891018,2891017,0,"WikiProject Belgium/Public Transport","2025-08-29T09:03:31Z","","","/* Regio Westhoek */ Update VVR Westhoek 09/2025","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Westhoek"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Westhoek</bdi></a>: </span> Update VVR Westhoek 09/2025",282788,149,NA
157068,"Multimob",17986,2891017,2891016,0,"WikiProject Belgium/Public Transport","2025-08-29T09:02:39Z","",NA,"/* Bus */ Update VVR Oostende 10/2025","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Bus"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Bus</bdi></a>: </span> Update VVR Oostende 10/2025",282639,-25,NA
157068,"Multimob",17986,2891016,2891015,0,"WikiProject Belgium/Public Transport","2025-08-29T09:00:40Z","",NA,"/* Regio Kortrijk */ Update VVR Kortrijk 09/2025","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Kortrijk"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Kortrijk</bdi></a>: </span> Update VVR Kortrijk 09/2025",282664,9,NA
157068,"Multimob",17986,2891015,2891014,0,"WikiProject Belgium/Public Transport","2025-08-29T09:00:13Z","",NA,"/* Regio Brugge */ Update VVR Brugge 09/2025","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Brugge"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Brugge</bdi></a>: </span> Update VVR Brugge 09/2025",282655,163,NA
157068,"Multimob",17986,2891014,2891013,0,"WikiProject Belgium/Public Transport","2025-08-29T08:57:33Z","",NA,"/* Regio Vlaamse Rand */ Update VVR Vlaamse Rand 09/2025","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Vlaamse_Rand"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Vlaamse Rand</bdi></a>: </span> Update VVR Vlaamse Rand 09/2025",282492,-131,NA
157068,"Multimob",17986,2891013,2891012,0,"WikiProject Belgium/Public Transport","2025-08-29T08:51:49Z","",NA,"/* Regio Leuven */ Update VVR Leuven 09/2025","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Leuven"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Leuven</bdi></a>: </span> Update VVR Leuven 09/2025",282623,150,NA
157068,"Multimob",17986,2891012,2891010,0,"WikiProject Belgium/Public Transport","2025-08-29T08:49:17Z","",NA,"/* Regio Waasland */ update VVR Waasland 09/2025","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Waasland"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Waasland</bdi></a>: </span> update VVR Waasland 09/2025",282473,-179,NA
157068,"Multimob",17986,2891010,2891009,0,"WikiProject Belgium/Public Transport","2025-08-29T08:42:15Z","",NA,"/* Bus */ update VVR Gent 09/2025","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Bus"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Bus</bdi></a>: </span> update VVR Gent 09/2025",282652,286,NA
157068,"Multimob",17986,2891009,2891008,0,"WikiProject Belgium/Public Transport","2025-08-29T08:41:23Z","",NA,"/* Regio Dender + Vlaamse Ardennen */ update VVR Dender 09/2025","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Dender_+_Vlaamse_Ardennen"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Dender + Vlaamse Ardennen</bdi></a>: </span> update VVR Dender 09/2025",282366,20,NA
157068,"Multimob",17986,2891008,2891007,0,"WikiProject Belgium/Public Transport","2025-08-29T08:40:23Z","",NA,"/* Regio Limburg */ update VVR Limburg 09/2025","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Limburg"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Limburg</bdi></a>: </span> update VVR Limburg 09/2025",282346,-552,NA
